Year,Cause Name,Deaths,Age-adjusted Death Rate
2015,Diabetes,5521,21.2
2015,Heart disease,43298,171.6
2015,Influenza and pneumonia,3214,13.0
2015,Kidney disease,4052,16.1
2015,Stroke,10485,42.7
2015,Suicide,3403,12.5
2015,Unintentional injuries,9976,37.4
2016,Alzheimer's disease,9135,37.8
2016,CLRD,10107,39.5
2016,Cancer,40195,148.5
2016,Diabetes,5470,20.3
2016,Heart disease,43772,167.7
2016,Influenza and pneumonia,2860,11.1
2016,Kidney disease,4125,15.8
2016,Stroke,10673,42.0
2016,Suicide,3488,12.6
2016,Unintentional injuries,10536,38.6
